,title,company,salary,summary
13,scala Engineer - Backend 100% Remote,zb.io,,"*Scala Engineer - Backend*, 100% Remote * Sr level positions (8+ Years of Experience) – Scala is a must have (do not present without Scala experience) *…"
14,Sr. Software Developer,ideaoninc,,Human Values. Respect for the Individual. We value you. Above everything else. We realize you may have constraints and we work around those to enable your…
15,Development Engineer,"Berkeley Lights, Inc.",,This role requires a strong foundation in object-oriented programming as well as exposure to advanced lab automation equipment with an emphasis on microscopy…
16,Sr. Software Engineer,Change Healthcare,,"This Senior Engineer must be an experienced, skilled, and hands-on developer who will drive and lead the realization of the Change Healthcare Marketplace e…"
17,Salesforce Lightning Developer,TIME2FIND,,"Excellent problem solving, troubleshooting, oral and written communication skills Ability to work independently and as part of a team Ability to provide first…"
18,Senior Software Engineer,Yapstone,,"We are looking for experienced, Java developers who have exceled in building large scale, high volume throughput solutions to expand and scale this new platform…"
19,Software Development Engineer in Test – Manage and Analyze,DocuSign,,"Software Development Engineer in Test – Manage and Analyze.Engineering & Tech Operations | Walnut Creek, CA.2+ years' experience automating tests."
20,Expert GIS Programmer Analyst,Pacific Gas And Electric Company,,Directs both employee and contractor developer resources in delivering quality code for projects and enhancements.Compliance to IT standards/regulations.
21,Full Stack Tech Lead,Taxnexus,,Provides technical guidance to less experienced developers.Work closely with experienced developers who love discussing databases and APIs.
22,Senior Software Engineer - Media,"MobiTV, Inc",,Our content delivery platform unlocks content from the traditional Set Top Box (STB) experience allowing pay TV providers to seamlessly deliver content to their…
23,Software Development Engineer,Amazon.com Services LLC,,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design."
24,Senior Software Engineer - Payments,Yapstone,,"Yapstone has built a new microservices-based payments platform and we are looking for experienced, Java developers who have exceled in building large scale,…"
25,"Senior Software Engineer, Cloud Backend","Berkeley Lights, Inc.",,Our extremely sophisticated proprietary technology and Beacon® and LightningTM systems accelerate the rate researchers can discover and develop cell-based…
26,Senior Software Development Engineer in Test – Manage and An...,DocuSign,,"Senior Software Development Engineer in Test – Manage and Analyze.Engineering & Tech Operations | Walnut Creek, California."
27,Software Engineer I/II - Screening & Selection,Zymergen,,"The software we create touches all aspects of the company's work, from sequencing and analyzing large amounts of genomic data, to computer-aided DNA design, to…"
28,scala Engineer - Backend 100% Remote,zb.io,,Sr level positions (8+ Years of Experience) – Scala is a must have (do not present without Scala experience).Scala - Scala Script to run Lambda service.
29,Sr. Software Developer,ideaoninc,,"Yearly Bonus for Fixed Salary Employees.Two weeks paid vacation – subject to some rules.Responsible for designing, developing, and testing software solutions…"
30,Salesforce Lightning Developer,TIME2FIND,,"Excellent problem solving, troubleshooting, oral and written communication skills Ability to work independently and as part of a team Ability to provide first…"
31,Senior Software Engineer,Yapstone,,"We are looking for experienced, Java developers who have exceled in building large scale, high volume throughput solutions to expand and scale this new platform…"
32,Development Engineer,"Berkeley Lights, Inc.",,This role requires a strong foundation in object-oriented programming as well as exposure to advanced lab automation equipment with an emphasis on microscopy…
33,Cloud Systems Developer,Meritage Medical Network,,Meritage Medical Network has an immediate opportunity for a full-time System Developer to assist in implementing advanced software cloud systems.
34,Software Development Engineer in Test – Manage and Analyze,DocuSign,,"Software Development Engineer in Test – Manage and Analyze.Engineering & Tech Operations | Walnut Creek, CA.2+ years' experience automating tests."
35,Expert GIS Programmer Analyst,Pacific Gas And Electric Company,,Directs both employee and contractor developer resources in delivering quality code for projects and enhancements.Compliance to IT standards/regulations.
36,Full Stack Tech Lead,Taxnexus,,Provides technical guidance to less experienced developers.Work closely with experienced developers who love discussing databases and APIs.
37,Senior Software Engineer - Media,"MobiTV, Inc",,Our content delivery platform unlocks content from the traditional Set Top Box (STB) experience allowing pay TV providers to seamlessly deliver content to their…
38,Senior Software Engineer - Payments,Yapstone,,"Yapstone has built a new microservices-based payments platform and we are looking for experienced, Java developers who have exceled in building large scale,…"
39,Software Development Engineer,Amazon.com Services LLC,,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design."
40,"Senior Software Engineer, Cloud Backend","Berkeley Lights, Inc.",,Our extremely sophisticated proprietary technology and Beacon® and LightningTM systems accelerate the rate researchers can discover and develop cell-based…
41,Senior Software Development Engineer in Test – Manage and An...,DocuSign,,"Senior Software Development Engineer in Test – Manage and Analyze.Engineering & Tech Operations | Walnut Creek, California."
42,Software Engineer I/II - Screening & Selection,Zymergen,,"The software we create touches all aspects of the company's work, from sequencing and analyzing large amounts of genomic data, to computer-aided DNA design, to…"
43,scala Engineer - Backend 100% Remote,zb.io,,Sr level positions (8+ Years of Experience) – Scala is a must have (do not present without Scala experience).Scala - Scala Script to run Lambda service.
44,Sr. Software Developer,ideaoninc,,"Yearly Bonus for Fixed Salary Employees.Two weeks paid vacation – subject to some rules.Responsible for designing, developing, and testing software solutions…"
